Element,ProjectId,FileId,Count,ClassName,Kind,Line,PackageName,SessionId
pyspark.sql.session.SparkSession,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,15,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.builder,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Variable,17,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.Builder.master,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,18,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.Builder.appName,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,19,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.Builder.getOrCreate,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,20,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.createDataFrame,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,22,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.dataframe.DataFrame.printSchema,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,23,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.dataframe.DataFrame.show,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,24,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.IntegerType,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,27,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.StringType,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,27,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.StructField,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,27,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.StructType,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,27,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.StringType,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,28,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.StructField,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,28,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.StructType,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,28,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.IntegerType,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,29,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.types.StructField,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Class,29,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.createDataFrame,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,31,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.dataframe.DataFrame.printSchema,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,32,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.dataframe.DataFrame.show,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,33,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.conf.RuntimeConfig.set,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,36,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.conf,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,36,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.conf.RuntimeConfig.set,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,37,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.conf,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,37,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.dataframe.DataFrame.select,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,39,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.conf.RuntimeConfig.get,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,43,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.conf,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,43,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.conf.RuntimeConfig.get,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,46,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.conf,Sources,CLI_PythonQT_Only_Code/pandas-pyspark-dataframe.py,1,,Function,46,Sources.CLI_PythonQT_Only_Code.pandas-pyspark-dataframe,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Class,5,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.builder,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Variable,6,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.Builder.appName,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Function,6,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.Builder.getOrCreate,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Function,6,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.functions.col,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Function,8,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.functions.expr,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Function,8,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.dataframe.DataFrame.toDF,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Function,10,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.session.SparkSession.createDataFrame,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Function,10,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
pyspark.sql.dataframe.DataFrame.select,Sources,CLI_PythonQT_Only_Code/pyspark-add-month.py,1,,Function,11,Sources.CLI_PythonQT_Only_Code.pyspark-add-month,e37da485-7713-4c30-bd1e-2bc6c7661012
